xdm_path,xdm_title,xdm_type,cja_id,cja_name,cja_type
productListItems._experience.analytics.event101to200.event109.id,Unique Identifier,string,,,
productListItems._experience.analytics.event101to200.event109.value,,number,,,
productListItems._experience.analytics.event101to200.event110.id,Unique Identifier,string,,,
productListItems._experience.analytics.event101to200.event110.value,,number,,,
productListItems._experience.analytics.event101to200.event111.id,Unique Identifier,string,,,
productListItems._experience.analytics.event101to200.event111.value,,number,,,
productListItems._experience.analytics.event101to200.event112.id,Unique Identifier,string,,,
productListItems._experience.analytics.event101to200.event112.value,,number,,,
productListItems._experience.analytics.event101to200.event113.id,Unique Identifier,string,,,
productListItems._experience.analytics.event101to200.event113.value,,number,,,
productListItems._experience.analytics.event101to200.event114.id,Unique Identifier,string,,,
productListItems._experience.analytics.event101to200.event114.value,,number,,,
productListItems._experience.analytics.event101to200.event115.id,Unique Identifier,string,,,
productListItems._experience.analytics.event101to200.event115.value,,number,,,
productListItems._experience.analytics.event101to200.event116.id,Unique Identifier,string,,,
productListItems._experience.analytics.event101to200.event116.value,,number,,,
productListItems._experience.analytics.event101to200.event117.id,Unique Identifier,string,,,
productListItems._experience.analytics.event101to200.event117.value,,number,,,
productListItems._experience.analytics.event101to200.event118.id,Unique Identifier,string,,,
